CBOE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of CBOE data is subject to the Terms and Conditions of CBOE's Websites.,,,,
Date,Open,High,Low,Close
6/1/2010,50.21,51.19,48.79,51.18
6/2/2010,50.88,52.49,46.67,46.68
6/3/2010,46.69,46.86,45.27,45.58
6/4/2010,47.84,51.35,46.31,51.06
6/7/2010,50.27,53.38,50.27,53.08
6/8/2010,53.38,56.58,53.3,53.75
6/9/2010,52.45,54.24,51.32,53.42
6/10/2010,51.95,51.95,49.59,49.71
6/11/2010,51.17,56.19,47.96,47.96
6/14/2010,47.68,48,46.37,47.65
6/15/2010,48.89,48.95,44.95,45.09
6/16/2010,45.87,45.87,42.96,43.06
6/17/2010,42.97,43.65,41.88,41.99
6/18/2010,42.37,42.42,39.62,39.65
6/21/2010,39.02,42.29,38.47,41.7
6/22/2010,43.03,43.29,41.47,43.05
6/23/2010,44.74,45.87,43.71,43.91
6/24/2010,44.82,47.29,44.79,47.19
6/25/2010,47.5,48,45.91,46.76
6/28/2010,50.65,50.65,48.15,48.39
6/29/2010,49.78,57.63,49.77,57.27
6/30/2010,57.65,57.66,54.62,56.74
7/1/2010,57.93,60.28,56.08,56.55
7/2/2010,56.21,56.67,54.29,54.65
7/6/2010,55.64,56.38,54.46,55.85
7/7/2010,55.82,55.85,52.85,52.85
7/8/2010,51.46,54.49,51.3,52.76
7/9/2010,52.65,53.76,51.67,51.71
7/12/2010,54.87,55.33,52.28,52.34
7/13/2010,51.05,52.75,50.94,51.65
7/14/2010,52.65,53.23,51.17,51.81
7/15/2010,53.89,54.4,50.1,50.19
7/16/2010,51.17,51.76,49.87,50.13
7/19/2010,52.22,52.22,48.48,48.67
7/20/2010,48.4,50.14,46.85,46.88
7/21/2010,47.08,48.81,46.59,48.7
7/22/2010,48.42,48.67,46.28,48.44
7/23/2010,46.3,46.3,39.81,40.4
7/26/2010,42,43.01,40.53,41.3
7/27/2010,41.3,42.56,39.49,40.22
7/28/2010,40.26,41.45,39.68,39.68
7/29/2010,39.4,40.07,38.33,38.71
7/30/2010,39.72,39.72,37.49,37.58
8/2/2010,38.37,38.8,37.66,37.75
8/3/2010,37.36,37.55,36.38,36.42
8/4/2010,36.35,38.97,35.99,38.92
8/5/2010,39.2,39.2,37.97,37.99
8/6/2010,38.37,39.05,37.63,37.67
8/9/2010,38.57,38.57,36.78,36.78
8/10/2010,37.03,37.84,36.82,37.3
8/11/2010,38.64,40.81,38.64,39.62
8/12/2010,41.13,41.13,39.35,40.07
8/13/2010,40.03,41.6,39.5,41.34
8/16/2010,42.88,42.93,39.2,39.28
8/17/2010,39.1,39.24,37.67,37.76
8/18/2010,38,38.9,37.82,38.34
8/19/2010,38.23,39.4,38.04,38.48
8/20/2010,39.03,39.67,38.43,38.48
8/23/2010,39.96,40.04,38.88,39.88
8/24/2010,41.43,42.67,39.87,40.31
8/25/2010,40.77,41.55,40.33,40.69
8/26/2010,40.54,41.38,40.21,41.28
8/27/2010,40.73,43,40.02,40.04
8/30/2010,41.92,42.34,41.15,42.33
8/31/2010,42.74,43.58,42.55,43.25
9/1/2010,42.7,42.72,40.79,41.4
9/2/2010,41.25,42.02,40.38,40.45
9/3/2010,39.59,39.61,38.54,38.78
9/7/2010,40.67,42.01,40.67,41.46
9/8/2010,41.86,42.24,40.98,42.01
9/9/2010,41.28,42.88,40.98,42.03
9/10/2010,41.88,43.56,40.54,40.57
9/13/2010,41,41.94,39.64,39.99
9/14/2010,41.06,41.75,39.24,40.09
9/15/2010,40.41,41.21,39,39.16
9/16/2010,39.46,40.15,39.17,40.09
9/17/2010,39.81,40.68,38.24,38.48
9/20/2010,41.4,42.03,38.89,40.86
9/21/2010,41.46,42.2,40.99,41.96
9/22/2010,42.7,43.35,42.31,42.72
9/23/2010,43.06,44.03,42.6,43.86
9/24/2010,42.93,45.97,42.86,45.85
9/27/2010,47.79,48.59,46.79,47.73
9/28/2010,48.24,50.3,48.21,48.83
9/29/2010,49.26,49.51,47.63,47.8
9/30/2010,47.82,49.32,47.64,47.86
10/1/2010,48.34,49.5,47,47.08
10/4/2010,49.09,49.09,48.12,48.22
10/5/2010,48,48.83,47.82,48.51
10/6/2010,48.91,49.42,48.21,48.28
10/7/2010,48.16,49.24,48.02,48.44
10/8/2010,49.1,49.67,46.56,46.59
10/11/2010,49.82,50.14,47.98,48.86
10/12/2010,49.87,49.87,47.91,48.03
10/13/2010,48.96,48.96,47.66,47.92
10/14/2010,48.41,49.21,48,49.17
10/15/2010,48.26,51.05,48.08,50.76
10/18/2010,51.97,51.97,49.69,49.78
10/19/2010,50.06,50.26,49.2,49.41
10/20/2010,49.05,49.64,48.71,49.27
10/21/2010,48.93,53,48.93,50.17
10/22/2010,40.22,40.29,38,38.54
10/25/2010,38.85,40.09,37.86,37.89
10/26/2010,38.13,38.32,36.88,37.91
10/27/2010,38.33,38.5,37.34,37.34
10/28/2010,37.36,37.46,36.74,37.03
10/29/2010,37.24,37.69,36.86,37.14
11/1/2010,41.94,42.05,37.78,38.54
11/2/2010,40.16,40.16,37.4,37.66
11/3/2010,37.59,38.39,37.06,37.33
11/4/2010,36.69,37.3,35.59,37.14
11/5/2010,36.64,37.7,35.89,37.7
11/8/2010,38.5,38.93,37.36,37.38
11/9/2010,37.31,37.73,36.45,36.46
11/10/2010,36.02,36.52,34.93,35.43
11/11/2010,35.77,37.32,35.77,36.41
11/12/2010,36.43,39.39,36.04,39.12
11/15/2010,39.87,40.18,37.78,39.23
11/16/2010,39.09,40.29,38.65,39.89
11/17/2010,39.74,39.75,38.32,38.51
11/18/2010,37.76,37.76,35.29,35.54
11/19/2010,35.75,36.2,34.79,34.9
11/22/2010,36.22,36.24,34.8,34.82
11/23/2010,35.98,37.76,35.6,37.27
11/24/2010,36.21,38.62,36.19,38.4
11/26/2010,38.75,40.47,38.75,40.37
11/29/2010,40.9,43.28,40.29,40.3
11/30/2010,41.65,42.06,41.12,41.57
12/1/2010,40.37,40.53,39.29,39.45
12/2/2010,39.51,39.71,37.86,38.09
12/3/2010,37.96,38.14,36.3,36.47
12/6/2010,37.36,38.26,36.35,36.7
12/7/2010,36.22,36.92,35.82,36.47
12/8/2010,35.82,36.66,35.42,35.42
12/9/2010,35.18,36.12,34.99,35.04
12/10/2010,34.83,35.33,34.6,34.68
12/13/2010,36.95,36.97,32.75,32.81
12/14/2010,33.04,33.57,32.75,33.08
12/15/2010,33.15,33.4,32.02,33.15
12/16/2010,33.8,33.8,31.39,31.7
12/17/2010,32.25,32.25,30.61,30.65
12/20/2010,31.79,31.95,29.77,30.14
12/21/2010,30.62,30.99,29.62,30.34
12/22/2010,30.6,30.65,29.59,29.9
12/23/2010,30.3,31.36,30.03,30.26
12/27/2010,34.6,34.77,33.93,34.44
12/28/2010,34.67,34.83,34.43,34.43
12/29/2010,34.73,35.1,34.4,34.77
12/30/2010,35.17,35.81,35.06,35.73
12/31/2010,36.23,36.74,36.05,36.71
1/3/2011,38.46,38.53,37.76,37.87
1/4/2011,37.5,38.32,37.48,37.66
1/5/2011,38.18,38.8,37.94,38.03
1/6/2011,38.45,39.03,38.34,38.41
1/7/2011,38.46,39.38,37.17,37.29
1/10/2011,39.14,39.34,38.4,38.45
1/11/2011,38.45,38.45,37.52,37.56
1/12/2011,37.63,37.79,36.91,36.95
1/13/2011,37.27,37.3,36.63,36.81
1/14/2011,37.18,37.18,36.09,36.18
1/18/2011,38.35,38.43,37.73,37.77
1/19/2011,37.88,38.85,37.74,38.83
1/20/2011,39.34,40.52,39.34,39.44
1/21/2011,39.23,41.23,39.06,41.23
1/24/2011,41.79,46.87,41.79,42.98
1/25/2011,43,44.37,42.95,43.67
1/26/2011,43.24,43.78,43,43.41
1/27/2011,42.86,44.02,40.99,42.47
1/28/2011,36.5,36.5,33,34.2
1/31/2011,35.21,36.06,34.02,34.06
2/1/2011,33.63,33.63,31.62,31.66
2/2/2011,31.68,31.77,30.56,30.6
2/3/2011,30.8,30.98,30.34,30.97
2/4/2011,30.86,30.86,29.65,30.39
2/7/2011,31.58,31.68,30.3,30.37
2/8/2011,30.43,30.43,29.48,30.14
2/9/2011,30.26,30.87,29.97,29.97
2/10/2011,30.27,30.88,29.96,30.74
2/11/2011,30.84,32.28,30.32,31.5
2/14/2011,32.38,33.27,32.38,32.69
2/15/2011,32.88,32.98,32.28,32.38
2/16/2011,32.39,32.79,31.98,32.68
2/17/2011,32.94,33.25,32.9,32.94
2/18/2011,33.18,33.39,31.34,31.35
2/22/2011,33.98,35.01,33.3,34.98
2/23/2011,35.06,37.73,35.01,35.79
2/24/2011,35.92,37.06,35.22,35.51
2/25/2011,35.04,35.04,33.52,34.03
2/28/2011,36.16,36.23,35.04,35.13
3/1/2011,35.2,36.61,34.96,36.53
3/2/2011,36.23,36.76,35.41,35.82
3/3/2011,35.1,35.18,33.63,33.91
3/4/2011,34,34.73,33.97,34.28
3/7/2011,35.38,37.25,35.07,36.38
3/8/2011,36.46,36.99,35.44,36.16
3/9/2011,36.55,37.34,36.49,36.93
3/10/2011,37.67,38.77,37.1,37.67
3/11/2011,37.93,37.93,36.51,36.67
3/14/2011,38.43,38.5,36.54,36.59
3/15/2011,39.07,39.16,36.71,37.1
3/16/2011,37.52,42.68,36.41,41.28
3/17/2011,40.23,40.81,38.02,39.16
3/18/2011,38.61,38.87,35.12,36.1
3/21/2011,38.09,38.19,33.55,34.07
3/22/2011,34.22,34.55,33.37,33.47
3/23/2011,33.82,34.11,32.43,32.78
3/24/2011,32.52,33.82,32.21,33.15
3/25/2011,33.3,33.53,32.18,32.51
3/28/2011,33.94,34.53,33.9,34.24
3/29/2011,33.96,35.14,33.96,34.42
3/30/2011,34.04,35.1,34.04,35.02
3/31/2011,35.29,35.75,35.27,35.5
4/1/2011,35.44,35.51,34.95,35.2
4/4/2011,36.57,36.67,35.83,35.88
4/5/2011,36.04,36.28,35.54,35.68
4/6/2011,35.65,36.88,35.52,36.43
4/7/2011,36.68,36.68,35.51,35.53
4/8/2011,35.59,35.64,35.11,35.17
4/11/2011,37.53,37.63,36.89,37.55
4/12/2011,37.52,38.31,37.37,38.13
4/13/2011,38.12,38.33,37.8,38.13
4/14/2011,38.07,38.36,36.49,36.67
4/15/2011,36.73,37.02,34.75,35.65
4/18/2011,37.29,38.9,36.89,36.93
4/19/2011,36.53,37.31,36.52,36.63
4/20/2011,35.82,36.89,35.48,36.38
4/21/2011,35.79,40.12,35.37,35.92
4/25/2011,37.25,38.29,37.24,38.23
4/26/2011,38.28,38.75,37.1,37.71
4/27/2011,29.12,32.21,29.09,32.06
4/28/2011,32.7,33,31.06,31.12
4/29/2011,31.61,31.74,30.05,30.05
5/2/2011,30.56,32.36,30.39,32.01
5/3/2011,32.01,32.3,31.6,31.68
5/4/2011,31.89,33.26,31.57,32.28
5/5/2011,32.59,32.59,31.54,32.15
5/6/2011,31.44,31.44,30.03,31.28
5/9/2011,31.98,32.54,31.49,32.14
5/10/2011,32.09,32.58,30.2,30.26
5/11/2011,30.19,30.92,30.12,30.35
5/12/2011,31.02,33.99,30.83,31.24
5/13/2011,31.38,33.43,30.37,30.64
5/16/2011,32.09,34.42,31.52,34.31
5/17/2011,34.58,35.45,33.19,33.29
5/18/2011,33.33,33.47,31,31.41
5/19/2011,31.35,31.51,30.63,30.66
5/20/2011,30.83,31.21,29.31,30.24
5/23/2011,32.31,33.29,32.21,32.46
5/24/2011,32.22,32.32,31.24,31.34
5/25/2011,31.32,31.39,30.38,30.38
5/26/2011,30.79,30.91,29.68,29.92
5/27/2011,29.9,29.9,28.8,29.2
5/31/2011,30.18,30.34,29.58,29.88
6/1/2011,29.86,31.11,29.63,31.09
6/2/2011,31.34,31.51,30.62,30.86
6/3/2011,31.68,34.95,31,31.98
6/6/2011,33.05,33.62,32.68,32.88
6/7/2011,33.04,33.04,31.55,32.51
6/8/2011,32.63,33.01,32.14,32.51
6/9/2011,32.61,33.25,31.52,31.96
6/10/2011,32.75,33.14,32.19,32.45
6/13/2011,32.65,32.98,31.3,31.33
6/14/2011,31.04,31.25,30.28,30.57
6/15/2011,31.29,33.97,31.08,33.32
6/16/2011,33.57,37.32,33.53,35.71
6/17/2011,35.28,35.6,34.45,35
6/20/2011,36.77,37.21,35.01,35.01
6/21/2011,35.13,35.25,32.79,33.49
6/22/2011,33.88,34.24,32.88,33.11
6/23/2011,33.88,34.87,33.38,33.47
6/24/2011,33.66,34.09,33.42,33.91
6/27/2011,35.47,36.71,35.47,36.65
6/28/2011,36.73,36.77,35.54,35.62
6/29/2011,35.86,36.56,34.97,35.07
6/30/2011,35.81,35.81,34.16,34.34
7/1/2011,34.45,35.1,32.99,33.17
7/5/2011,35.47,36.44,35.25,35.89
7/6/2011,36.35,36.44,36.04,36.07
7/7/2011,35.76,36.02,35.41,35.47
7/8/2011,36.22,36.23,35.76,35.97
7/11/2011,38.55,39.03,37.89,38.52
7/12/2011,38.94,38.95,38,38.6
7/13/2011,38.34,38.89,37.7,38.85
7/14/2011,38.87,39.2,38.4,38.42
7/15/2011,38.36,39.62,38.35,38.44
7/18/2011,40.02,40.97,39.85,39.99
7/19/2011,39.36,39.62,38.63,38.67
7/20/2011,38.54,40.25,38.54,39.51
7/21/2011,39.36,40.27,38.64,39.99
7/22/2011,39.75,41.32,39.41,40.82
7/25/2011,41.85,43.08,41.58,43.01
7/26/2011,42.85,44.52,42.78,43.64
7/27/2011,37.13,37.13,33.07,35.2
7/28/2011,35.41,35.41,34.37,34.93
7/29/2011,35.39,36.11,35.23,35.91
8/1/2011,34.95,36.89,34.15,35.38
8/2/2011,35.59,37.14,35.03,37.12
8/3/2011,37.31,39.25,37.19,37.34
8/4/2011,38.38,44.84,38.2,44.84
8/5/2011,43.8,54.82,42.91,47.37
8/8/2011,51.25,62.18,49.66,59.21
8/9/2011,58.37,58.79,49.17,49.17
8/10/2011,51.51,59.43,51.37,58.72
8/11/2011,58.33,58.35,52.99,54.16
8/12/2011,53.03,53.13,49.53,49.59
8/15/2011,49.65,50.03,46.36,46.7
8/16/2011,47.92,49.02,45.34,45.74
8/17/2011,45.12,46.58,43.69,44.65
8/18/2011,46.98,56.91,46.98,56.05
8/19/2011,56.85,59.77,55.05,59.49
8/22/2011,57.33,61.15,57.09,60.53
8/23/2011,59.53,59.73,52.43,53.59
8/24/2011,53.53,54.94,51.27,53.43
8/25/2011,56.02,59.01,53.06,56.16
8/26/2011,56.78,64.23,50.78,50.78
8/29/2011,50.16,50.59,48.84,48.84
8/30/2011,49.21,49.71,47.64,48.35
8/31/2011,47.74,48.49,46.66,47.65
9/1/2011,47.59,47.95,45.57,46.6
9/2/2011,47.96,49.49,47.87,48.86
9/6/2011,53.76,54.42,51.9,51.99
9/7/2011,51.43,51.46,48.84,48.84
9/8/2011,49.4,49.66,48.4,49.18
9/9/2011,49.93,53.92,49.82,52.86
9/12/2011,54.42,55.34,52.78,52.89
9/13/2011,52.46,52.7,48.78,48.9
9/14/2011,49,49.57,45.98,46.37
9/15/2011,45.52,46.77,44.54,44.9
9/16/2011,44.67,45.28,43.96,44.6
9/19/2011,55.31,55.38,47.85,48.91
9/20/2011,49.76,50.04,47.26,48.43
9/21/2011,48.35,57.65,48.25,50.81
9/22/2011,54.78,59.2,54.78,57.68
9/23/2011,58.95,59,56.71,57.81
9/26/2011,58.96,60.95,57.59,57.6
9/27/2011,56.49,58.39,55.48,57.98
9/28/2011,57.64,58.51,56.34,58.21
9/29/2011,57.2,62.9,55.76,60.14
9/30/2011,62.18,66.28,59.55,61.89
10/3/2011,63.98,68.45,59.71,66.06
10/4/2011,66.97,69.67,63.02,63.02
10/5/2011,65.1,65.1,58.58,58.74
10/6/2011,59.31,60.52,57.56,57.77
10/7/2011,57.86,57.94,54.16,55.03
10/10/2011,56.07,56.18,52.91,53.86
10/11/2011,54.58,54.94,52.94,53.09
10/12/2011,52.78,52.93,51.58,52.6
10/13/2011,53.15,53.36,51.99,52.26
10/14/2011,50.82,51.71,50.31,51.36
10/17/2011,54.63,55.6,54.53,55.39
10/18/2011,55.58,56.06,52.37,52.66
10/19/2011,53.3,55.02,52.89,54.28
10/20/2011,54.64,56.5,54.15,54.49
10/21/2011,53.57,53.86,52.33,52.33
10/24/2011,52.34,52.6,49.75,50.37
10/25/2011,50.15,58.92,50.15,58.69
10/26/2011,50.83,50.83,46.38,47.22
10/27/2011,44.47,45.24,41.41,42
10/28/2011,41.53,41.82,39.96,40.43
10/31/2011,41.84,43.17,41.21,42.74
11/1/2011,46.08,48.64,45.55,47.61
11/2/2011,46.41,49.15,45.18,45.22
11/3/2011,45.33,45.54,42.7,42.7
11/4/2011,42.78,44,42.13,42.33
11/7/2011,43.78,44.49,42.64,42.72
11/8/2011,42.21,42.21,40.29,40.36
11/9/2011,41.92,48.05,41.91,47.52
11/10/2011,46.12,48.1,44.8,44.82
11/11/2011,43.83,44.14,41.62,41.62
11/14/2011,43.34,43.54,41.94,41.94
11/15/2011,42.18,43.39,41.41,41.52
11/16/2011,41.99,43.61,41.99,43.61
11/17/2011,43.63,50.63,43.63,48.79
11/18/2011,48.3,49.45,47.63,48.85
11/21/2011,52.53,55.07,50.57,50.92
11/22/2011,51.69,52.19,48.43,49.19
11/23/2011,49.04,52.66,48.93,51.41
11/25/2011,52.15,53.71,50.36,50.37
11/28/2011,52.52,52.67,50.38,50.54
11/29/2011,50.57,51.27,48.7,50.03
11/30/2011,48.22,48.94,47.38,47.46
12/1/2011,47.66,59.33,46.24,46.36
12/2/2011,47.17,47.17,44.2,44.33
12/5/2011,45.25,45.9,44.52,44.6
12/6/2011,44.48,45.32,44.13,44.56
12/7/2011,45.07,46.69,44.68,46.13
12/8/2011,47.31,48.03,46.04,46.57
12/9/2011,45.72,46.17,42.33,42.64
12/12/2011,43.86,45.64,42,42
12/13/2011,42.24,46.45,41,44.89
12/14/2011,45.62,51.68,45,46.74
12/15/2011,45.41,46.5,44.51,45.88
12/16/2011,45.33,45.42,41.87,41.92
12/19/2011,43.26,43.26,39.92,41.7
12/20/2011,40.76,40.95,38.53,39.26
12/21/2011,39.52,41.99,39.23,41.12
12/22/2011,41.74,41.9,38.93,39
12/23/2011,39.35,40.48,39.35,39.43
12/27/2011,42.99,43.01,41.9,42.84
12/28/2011,42.95,44.58,42.84,44.31
12/29/2011,46.36,47.34,45.14,45.17
12/30/2011,45.76,45.81,45.07,45.12
1/3/2012,47.21,47.21,45.88,46.12
1/4/2012,46.11,46.77,45.32,45.94
1/5/2012,46.7,47.34,44.68,44.7
1/6/2012,44.77,45.91,44.31,44.6
1/9/2012,46.32,47.48,46.19,46.4
1/10/2012,46.47,46.49,45.03,45.5
1/11/2012,45.81,45.97,45.16,45.86
1/12/2012,46.18,46.91,45.47,46.05
1/13/2012,46.42,47.49,46.28,46.91
1/17/2012,49.75,49.75,48.34,48.46
1/18/2012,48.68,48.82,47.43,47.61
1/19/2012,47.41,47.6,45.55,45.6
1/20/2012,45.96,46,43.29,43.67
1/23/2012,44.16,44.2,42.92,43.27
1/24/2012,43.47,43.95,42.99,43.09
1/25/2012,42.93,43.17,42.43,42.72
1/26/2012,42.51,44.24,42.12,43.56
1/27/2012,43.4,45.35,43.38,45.1
1/30/2012,46.53,50.89,46.53,50.75
1/31/2012,50.56,54.67,50.45,54.47
2/1/2012,37.8,37.8,34.54,34.86
2/2/2012,34.81,35.27,34.13,34.26
2/3/2012,33.55,33.64,32.38,32.71
2/6/2012,33.81,34.46,33.01,33.35
2/7/2012,33.36,33.63,32.38,32.65
2/8/2012,32.65,32.88,32.17,32.31
2/9/2012,33.14,34.12,33,33.52
2/10/2012,33.83,35.7,33.75,34.93
2/13/2012,35.18,35.59,33.63,34.17
2/14/2012,34.53,38.09,31.07,33.98
2/15/2012,34.41,38.27,33.73,36.93
2/16/2012,39.04,39.09,37.17,37.92
2/17/2012,37.86,37.87,35.69,35.71
2/21/2012,36.73,36.84,35.31,35.41
2/22/2012,35.67,35.78,34.04,34.08
2/23/2012,34.5,34.89,34.11,34.26
2/24/2012,34.03,34.03,31.89,32.4
2/27/2012,34.24,34.52,33.16,33.45
2/28/2012,33.88,33.94,32.86,33.82
2/29/2012,33.87,34.16,32.81,34.06
3/1/2012,33.75,34.31,33.73,33.96
3/2/2012,34.1,34.24,33.56,33.86
3/5/2012,35.13,36.01,34.75,35.01
3/6/2012,35.84,37.88,35.84,36.92
3/7/2012,36.64,36.67,34.77,34.79
3/8/2012,34.27,34.31,33.49,33.88
3/9/2012,33.17,33.44,32.13,32.28
3/12/2012,30.75,30.97,27.78,27.85
3/13/2012,27.61,28.1,26.85,27.12
3/14/2012,27.55,27.98,27.25,27.58
3/15/2012,27.56,30.73,27.54,30.34
3/16/2012,30.26,30.64,28.11,28.46
3/19/2012,30.03,30.22,27.62,28.27
3/20/2012,29.16,32.46,29.07,30.77
3/21/2012,30.91,31.64,30.59,30.66
3/22/2012,31.13,32.4,31.13,32.08
3/23/2012,32.6,33.99,32.45,32.59
3/26/2012,34.92,35.52,34.43,34.74
3/27/2012,35.21,37.23,35.21,36.44
3/28/2012,36.74,38,36.74,37.57
3/29/2012,37.77,39.36,37.77,38.92
3/30/2012,39.11,39.65,37.8,37.8
4/2/2012,40.17,40.37,38.3,38.47
4/3/2012,38.8,39.95,38.45,38.63
4/4/2012,39.13,39.79,38.91,39.16
4/5/2012,39.06,39.27,38.16,38.19
4/9/2012,41.19,42.44,41.14,41.57
4/10/2012,41.77,44.7,41.68,44.33
4/11/2012,43.74,43.74,42.42,42.84
4/12/2012,43.06,44.08,42.53,42.93
4/13/2012,43.39,44.03,42.06,42.73
4/16/2012,44.61,46.17,44.06,44.6
4/17/2012,43.85,45.55,43.8,44.07
4/18/2012,43.95,45.68,43.79,44.08
4/19/2012,43.93,44.36,42.99,43.75
4/20/2012,43.53,43.79,41.91,42.49
4/23/2012,43,45.71,42.91,44.52
4/24/2012,44.32,44.32,41.95,42.62
4/25/2012,42.11,43.5,40.91,43.27
4/26/2012,43.03,47.28,43.03,46.93
4/27/2012,33.99,34.86,32.11,34.28
4/30/2012,34.95,37.59,34.91,36.42
5/1/2012,36.8,37.1,34.92,35.19
5/2/2012,35.41,36.09,34.77,34.96
5/3/2012,35.07,35.26,34.26,34.72
5/4/2012,35.03,36.29,34.69,34.79
5/7/2012,35.98,36.43,35.01,35.76
5/8/2012,36.44,37.93,35.97,36.38
5/9/2012,37.92,39.34,37.46,37.73
5/10/2012,37.24,37.78,35.52,36.85
5/11/2012,36.48,36.7,35.62,36.36
5/14/2012,38.19,39.52,37.7,38.78
5/15/2012,37.29,39.57,37.29,38.73
5/16/2012,38.56,45.04,31.31,40.87
5/17/2012,40.04,43.83,39.97,43.82
5/18/2012,43.67,45.21,42.53,45.01
5/21/2012,45.92,46.76,40.33,40.42
5/22/2012,41.02,41.63,39.93,41.13
5/23/2012,41.84,43.77,40.09,40.15
5/24/2012,40.24,41.62,39.72,40.54
