CBOE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of CBOE data is subject to the Terms and Conditions of CBOE's Websites.,,,,
Date,Open,High,Low,Close
3/16/2011,29.25,33.59,28.52,32.16
3/17/2011,30.75,31.61,29.16,30.93
3/18/2011,29.16,29.16,28.17,28.49
3/21/2011,27.53,29.54,26.23,26.77
3/22/2011,26.34,26.36,24.61,25.07
3/23/2011,25.12,25.69,24.24,24.46
3/24/2011,24.28,24.91,24.22,24.69
3/25/2011,24.93,25,23.84,24.67
3/28/2011,25.99,26.1,23.98,25.21
3/29/2011,24.87,25.27,24.17,24.8
3/30/2011,24.01,24.21,23.21,23.28
3/31/2011,22.9,23.75,22.89,23.75
4/1/2011,22.7,23.39,22.25,23.06
4/4/2011,23.73,24.13,23.34,23.67
4/5/2011,24.1,24.18,22.84,23.22
4/6/2011,22.8,24.8,22.79,24.52
4/7/2011,24.24,24.54,23.42,24.42
4/8/2011,23.72,24.8,23.7,24.17
4/11/2011,24.07,24.38,22.89,24.28
4/12/2011,25.31,26.41,25.19,25.28
4/13/2011,24.95,26.14,24.87,24.88
4/14/2011,25.42,25.62,23.79,24.1
4/15/2011,23.91,24.2,22.74,23.45
4/18/2011,25.63,26.75,25.38,25.44
4/19/2011,24.98,24.98,23.38,23.42
4/20/2011,22.28,23.24,22.13,22.36
4/21/2011,22.47,23.33,22.19,22.25
4/25/2011,24.05,24.08,23.5,23.57
4/26/2011,23.72,23.73,23.13,23.15
4/27/2011,23.13,24.47,23.13,23.87
4/28/2011,24.89,25.62,24.52,24.52
4/29/2011,24.77,24.85,24.08,24.78
5/2/2011,25.38,25.63,25.06,25.42
5/3/2011,26.1,27.38,25.64,27.16
5/4/2011,27.22,28.35,27.19,28.28
5/5/2011,28.59,29.41,27.89,28.7
5/6/2011,27.48,28.16,25.78,27.43
5/9/2011,28.57,28.57,26.71,26.74
5/10/2011,26.5,26.57,24.95,25.3
5/11/2011,26.22,27.38,26.16,26.91
5/12/2011,27.42,28.02,25.85,25.97
5/13/2011,26.18,28.38,26.15,27.63
5/16/2011,28.74,28.81,27.51,28.39
5/17/2011,28.82,29,27.82,28.02
5/18/2011,28.05,28.22,26.1,27.22
5/19/2011,27.14,27.87,26.91,27.83
5/20/2011,28.02,28.07,26.63,27.05
5/23/2011,29.28,29.28,27.52,28
5/24/2011,27.46,27.46,26.15,26.68
5/25/2011,26.88,26.9,25.24,25.39
5/26/2011,25.26,25.26,23.98,23.98
5/27/2011,23.54,23.99,22.95,23.77
5/31/2011,24.27,24.91,24.01,24.38
6/1/2011,24.75,26.4,24.41,26.4
6/2/2011,26.44,27.14,25.9,26.17
6/3/2011,26.62,26.98,24.77,25.75
6/6/2011,27.13,28.95,26.86,28.81
6/7/2011,28.23,28.23,26.99,27.68
6/8/2011,27.73,28.26,27.51,28.03
6/9/2011,28.17,28.34,26.68,26.96
6/10/2011,27.41,28.45,27.41,27.96
6/13/2011,28.36,28.67,27.77,28.65
6/14/2011,27.83,28.11,26.47,26.81
6/15/2011,27.94,28.98,27.25,28.49
6/16/2011,29,42.15,28.23,31.45
6/17/2011,30.74,32.1,30.3,32.1
6/20/2011,32.66,32.68,28.85,29.3
6/21/2011,29.06,29.06,27.12,28.16
6/22/2011,28.62,28.73,25.93,26.7
6/23/2011,28.3,29.61,26.92,27.58
6/24/2011,26.85,28.21,26.83,28.11
6/27/2011,29.18,29.29,27.27,27.6
6/28/2011,27.27,27.64,25.49,25.68
6/29/2011,25.9,25.93,24.02,24.08
6/30/2011,23.67,23.73,22.72,23.16
7/1/2011,22.93,23.29,22.06,22.56
7/5/2011,23.67,23.67,21.68,22.6
7/6/2011,23.35,24.55,23.14,23.37
