CBOE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of CBOE data is subject to the Terms and Conditions of CBOE's Websites.,,,,
Date,Open,High,Low,Close
6/1/2010,29.64,31.08,28.51,31.08
6/2/2010,30.64,31.1,27.62,27.64
6/3/2010,27.44,28,26.9,27.04
6/4/2010,29.09,31.81,28.13,31.56
6/7/2010,31.73,32.83,31.41,32.83
6/8/2010,32.27,33.84,31.89,31.96
6/9/2010,31.21,34.13,29,30.84
6/10/2010,29.07,29.3,27.83,28.12
6/11/2010,28.83,29.16,27.03,27.19
6/14/2010,27.29,27.33,26.16,27.11
6/15/2010,27.39,27.44,25.17,25.28
6/16/2010,26.56,26.56,24.35,24.69
6/17/2010,24.81,25.6,24.44,24.8
6/18/2010,24.68,25.02,23.77,23.95
6/21/2010,22.99,23.59,22.17,23.29
6/22/2010,23.34,24.32,22.82,24.17
6/23/2010,25.31,26.93,25.01,26.45
6/24/2010,27.13,28.59,27.07,28.47
6/25/2010,28.19,29.35,27.97,28.6
6/28/2010,30.41,30.41,27.84,28.11
6/29/2010,29.58,34.25,29.29,33.7
6/30/2010,33.64,33.94,32.23,33.5
7/1/2010,33.62,35.47,33.27,34.23
7/2/2010,33.28,34.1,32.31,32.56
7/6/2010,32.61,32.61,30.96,31.24
7/7/2010,31.17,31.17,28.02,28.11
7/8/2010,27.91,28.05,26.91,26.91
7/9/2010,26.9,27.18,26.23,26.23
7/12/2010,26.88,26.96,25.28,25.36
7/13/2010,24.6,25.54,24.29,24.98
7/14/2010,25.99,25.99,24.64,25.12
7/15/2010,26.11,26.46,24.77,24.88
7/16/2010,25.74,27.33,25.71,27.16
7/19/2010,28.32,28.35,26.76,27.06
7/20/2010,27.06,27.06,22.07,22.07
7/21/2010,22.01,23.4,21.78,23.07
7/22/2010,22.28,22.28,21.01,21.37
7/23/2010,21.63,21.63,20.7,21.01
7/26/2010,22.12,22.32,21.17,21.25
7/27/2010,21.21,21.66,20.86,21.53
7/28/2010,21.77,21.78,21.13,21.28
7/29/2010,21.15,22.1,20.87,21.53
7/30/2010,22.53,22.53,21.33,21.4
8/2/2010,21.93,21.93,20.52,20.61
8/3/2010,21.53,21.53,20.57,20.65
8/4/2010,20.77,21.09,20.35,20.51
8/5/2010,20.94,21.21,20.6,20.63
8/6/2010,21.17,21.96,20.66,20.66
8/9/2010,21.22,21.22,20.44,20.55
8/10/2010,21.32,21.52,20.57,20.87
8/11/2010,22.72,23,21.99,22.4
8/12/2010,24.2,24.31,23.37,23.73
8/13/2010,24.24,24.32,23.66,23.96
8/16/2010,24.69,24.91,23.42,23.54
8/17/2010,23.26,23.61,22.24,22.9
8/18/2010,23.31,23.69,22.03,22.4
8/19/2010,23,24.29,22.82,23.72
8/20/2010,24.07,24.91,23.71,23.89
8/23/2010,24.8,24.8,23.22,24.01
8/24/2010,25.46,26.68,25.4,26.12
8/25/2010,26.77,27.2,26.1,26.24
8/26/2010,25.32,27.46,25.32,27.4
8/27/2010,26.68,27.6,24.92,24.93
8/30/2010,25.68,26.17,25.2,26.17
8/31/2010,26.7,27.18,26.17,26.64
9/1/2010,25.62,25.65,24.15,24.3
